조사명,이름,전화번호,소속,1,2,3,4,5,중복횟수,중복여부
테스트조사,홍길동14,010-8403-9951,A리서치,3,4,2,4,3,2,True
테스트조사,홍길동117,010-5173-8611,B리서치,3,5,1,5,1,2,True
테스트조사,홍길동180,010-6391-4027,A리서치,5,4,2,3,5,2,True
테스트조사,홍길동325,010-7744-7210,B리서치,1,4,4,3,4,2,True
테스트조사,홍길동345,010-9142-1597,B리서치,3,1,4,1,2,2,True
테스트조사,홍길동371,010-5274-6781,B리서치,4,4,5,5,2,2,True
테스트조사,홍길동395,010-1902-6236,B리서치,4,1,3,3,3,2,True
테스트조사,홍길동518,010-2753-3152,B리서치,1,3,1,2,1,2,True
테스트조사,홍길동541,010-9285-2143,B리서치,5,2,1,1,3,2,True
테스트조사,홍길동616,010-9939-3668,B리서치,2,3,4,2,5,2,True
테스트조사,홍길동732,010-7508-5747,C리서치,1,2,2,4,3,2,True
테스트조사,홍길동850,010-7630-5794,B리서치,4,5,2,5,5,2,True
테스트조사,홍길동876,010-6012-6984,B리서치,1,3,2,1,1,2,True
테스트조사,홍길동932,010-9602-5422,A리서치,3,2,5,2,4,2,True
테스트조사,홍길동1029,010-8270-3908,C리서치,1,1,1,4,1,2,True
테스트조사,홍길동1033,010-3636-9538,A리서치,3,4,3,5,2,2,True
테스트조사,홍길동1197,010-9630-8384,C리서치,2,2,4,5,2,2,True
테스트조사,홍길동1424,010-2329-9355,C리서치,2,5,2,3,1,2,True
테스트조사,홍길동1482,010-2483-8966,C리서치,4,2,4,5,1,2,True
테스트조사,홍길동1560,010-7737-6974,A리서치,4,3,3,2,5,2,True
테스트조사,홍길동1606,010-6593-9586,C리서치,5,4,5,2,3,2,True
테스트조사,홍길동1628,010-5920-2274,A리서치,3,2,3,2,4,2,True
테스트조사,홍길동1682,010-6146-4365,C리서치,3,4,1,5,1,2,True
테스트조사,홍길동1707,010-1775-9677,A리서치,5,3,3,1,4,2,True
테스트조사,홍길동1871,010-8278-6575,B리서치,4,5,4,1,5,2,True
테스트조사,홍길동1995,010-3743-2135,C리서치,5,2,2,3,3,2,True
테스트조사,홍길동2016,010-7753-2500,C리서치,5,3,3,5,4,2,True
테스트조사,홍길동2027,010-4451-3158,A리서치,5,5,2,1,2,2,True
테스트조사,홍길동2073,010-2329-9355,C리서치,4,5,4,4,2,2,True
테스트조사,홍길동2074,010-5352-4911,B리서치,1,2,2,5,2,2,True
테스트조사,홍길동2236,010-2533-3305,A리서치,2,1,1,5,4,2,True
테스트조사,홍길동2238,010-7318-4741,B리서치,5,5,1,2,5,2,True
테스트조사,홍길동2272,010-2687-4395,B리서치,1,5,4,4,5,2,True
테스트조사,홍길동2274,010-5631-7593,A리서치,3,4,3,4,3,2,True
테스트조사,홍길동2328,010-7448-3153,C리서치,3,3,1,5,4,2,True
테스트조사,홍길동2333,010-8814-6660,B리서치,2,1,2,3,4,2,True
테스트조사,홍길동2420,010-1552-8735,C리서치,3,5,5,5,5,2,True
테스트조사,홍길동2448,010-2583-5627,C리서치,1,1,1,4,1,2,True
테스트조사,홍길동2567,010-7155-7335,A리서치,5,5,2,3,1,2,True
테스트조사,홍길동2594,010-3949-1186,C리서치,4,1,3,2,4,2,True
테스트조사,홍길동2630,010-9649-8700,A리서치,5,1,1,5,4,2,True
테스트조사,홍길동2850,010-5449-7336,C리서치,5,3,3,5,3,2,True
테스트조사,홍길동2855,010-4710-5649,A리서치,1,2,2,5,2,2,True
테스트조사,홍길동2882,010-3038-9342,C리서치,5,2,2,3,2,2,True
테스트조사,홍길동3056,010-4002-4553,B리서치,3,3,2,2,1,2,True
테스트조사,홍길동3085,010-6944-1991,B리서치,2,1,2,4,4,2,True
테스트조사,홍길동3126,010-7384-3672,C리서치,5,5,5,5,1,2,True
테스트조사,홍길동3345,010-5567-6057,A리서치,5,5,4,5,5,2,True
테스트조사,홍길동3438,010-4180-5715,A리서치,5,3,5,4,5,2,True
테스트조사,홍길동3454,010-8687-9515,A리서치,2,1,2,5,4,2,True
테스트조사,홍길동3554,010-4583-9393,C리서치,3,4,3,2,2,2,True
테스트조사,홍길동3632,010-7585-2307,C리서치,3,2,1,3,2,2,True
테스트조사,홍길동3698,010-6745-7542,A리서치,4,4,1,4,5,2,True
테스트조사,홍길동3811,010-5608-2071,B리서치,5,5,2,2,1,2,True
테스트조사,홍길동3872,010-2694-2112,B리서치,4,2,3,1,4,2,True
테스트조사,홍길동3875,010-1827-5010,A리서치,5,5,1,1,4,2,True
테스트조사,홍길동3966,010-2616-1956,A리서치,2,5,4,3,2,2,True
테스트조사,홍길동3982,010-8159-8163,B리서치,2,1,2,4,1,2,True
테스트조사,홍길동4046,010-4232-4625,B리서치,4,5,2,5,2,2,True
테스트조사,홍길동4072,010-7385-9352,C리서치,1,1,5,4,3,2,True
테스트조사,홍길동4221,010-8078-6109,C리서치,4,5,3,2,1,2,True
테스트조사,홍길동4373,010-3276-5570,C리서치,1,4,1,5,2,2,True
테스트조사,홍길동4400,010-3967-6185,B리서치,2,4,5,1,2,2,True
테스트조사,홍길동4476,010-4516-3692,B리서치,3,4,3,5,4,2,True
테스트조사,홍길동4534,010-4508-1041,A리서치,1,1,2,4,1,2,True
테스트조사,홍길동4675,010-7780-9708,A리서치,4,3,5,1,2,2,True
테스트조사,홍길동4858,010-7740-1534,C리서치,4,1,2,2,3,2,True
테스트조사,홍길동4934,010-6869-5436,B리서치,5,5,5,4,5,2,True
테스트조사,홍길동5008,010-6284-4557,C리서치,2,3,4,3,4,2,True
테스트조사,홍길동5016,010-6431-3943,C리서치,4,3,1,5,2,2,True
테스트조사,홍길동5058,010-1589-5691,A리서치,5,4,3,5,3,2,True
테스트조사,홍길동5157,010-3685-2544,B리서치,1,5,5,2,4,2,True
테스트조사,홍길동5233,010-7398-8566,A리서치,4,2,5,4,2,2,True
테스트조사,홍길동5361,010-9939-3668,A리서치,1,2,4,5,3,2,True
테스트조사,홍길동5363,010-1967-5287,A리서치,4,2,5,5,4,2,True
테스트조사,홍길동5406,010-2245-4440,A리서치,2,2,5,1,3,2,True
테스트조사,홍길동5544,010-3685-2544,B리서치,5,1,4,3,1,2,True
테스트조사,홍길동5763,010-6126-3608,C리서치,3,2,3,4,2,2,True
테스트조사,홍길동5801,010-7187-5827,C리서치,3,2,4,1,3,2,True
테스트조사,홍길동5831,010-7577-9243,B리서치,1,4,2,3,1,2,True
테스트조사,홍길동5869,010-2029-7556,A리서치,1,5,3,4,3,2,True
테스트조사,홍길동5899,010-1307-7418,C리서치,2,3,1,5,1,2,True
테스트조사,홍길동5975,010-3222-1024,A리서치,3,5,1,4,4,2,True
테스트조사,홍길동6001,010-1460-7503,A리서치,1,5,4,1,1,2,True
테스트조사,홍길동6089,010-7517-5242,C리서치,3,1,4,5,1,2,True
테스트조사,홍길동6171,010-4303-6338,B리서치,4,1,5,1,1,2,True
테스트조사,홍길동6230,010-1047-4892,C리서치,1,3,5,4,5,2,True
테스트조사,홍길동6287,010-4852-1909,B리서치,3,2,2,1,2,2,True
테스트조사,홍길동6360,010-7471-7059,B리서치,4,5,2,5,3,2,True
테스트조사,홍길동6475,010-5966-7888,A리서치,5,1,5,4,2,2,True
테스트조사,홍길동6540,010-7298-1328,B리서치,2,1,4,4,2,2,True
테스트조사,홍길동6643,010-8509-4963,B리서치,5,4,2,5,2,2,True
테스트조사,홍길동6702,010-3902-9038,A리서치,4,3,2,3,4,2,True
테스트조사,홍길동6741,010-2077-6520,C리서치,1,4,1,4,4,2,True
테스트조사,홍길동6838,010-2196-3141,C리서치,3,5,1,3,5,2,True
테스트조사,홍길동7017,010-4889-1309,C리서치,5,4,3,4,3,2,True
테스트조사,홍길동7132,010-1545-3448,B리서치,4,2,4,4,5,2,True
테스트조사,홍길동7173,010-7161-1882,B리서치,5,4,2,4,4,2,True
테스트조사,홍길동7198,010-9216-3396,A리서치,3,2,2,2,2,2,True
테스트조사,홍길동7217,010-5821-5745,A리서치,1,2,2,3,1,2,True
테스트조사,홍길동7356,010-9707-4875,C리서치,4,5,1,3,1,2,True
테스트조사,홍길동7366,010-6938-4863,A리서치,3,3,5,4,2,3,True
테스트조사,홍길동7371,010-3242-9230,C리서치,5,2,4,5,5,2,True
테스트조사,홍길동7483,010-3488-3657,B리서치,3,4,3,5,2,2,True
테스트조사,홍길동7508,010-5449-7336,C리서치,5,3,4,5,1,2,True
테스트조사,홍길동7575,010-6124-4884,B리서치,5,2,3,4,2,2,True
테스트조사,홍길동7713,010-1518-1112,C리서치,3,3,1,5,1,2,True
테스트조사,홍길동7809,010-7241-6774,C리서치,4,3,1,3,5,2,True
테스트조사,홍길동7835,010-6701-2671,A리서치,2,5,3,4,5,2,True
테스트조사,홍길동7924,010-2778-2306,C리서치,1,2,3,4,5,2,True
테스트조사,홍길동7952,010-8650-9495,C리서치,3,3,1,1,5,2,True
테스트조사,홍길동8148,010-7996-1200,C리서치,3,2,1,3,4,2,True
테스트조사,홍길동8274,010-5131-6992,C리서치,3,2,2,3,3,2,True
테스트조사,홍길동8275,010-5956-3848,C리서치,5,3,5,4,4,2,True
테스트조사,홍길동8324,010-5374-1490,B리서치,1,1,4,2,3,2,True
테스트조사,홍길동8463,010-4251-1464,C리서치,4,2,2,5,5,2,True
테스트조사,홍길동8652,010-4032-2687,A리서치,4,4,2,5,3,2,True
테스트조사,홍길동8678,010-6722-3584,C리서치,1,3,1,4,3,2,True
테스트조사,홍길동8764,010-2238-4965,C리서치,5,5,5,4,3,2,True
테스트조사,홍길동8779,010-5361-5759,B리서치,1,4,1,2,3,2,True
테스트조사,홍길동8883,010-2908-6723,B리서치,1,5,4,4,2,2,True
테스트조사,홍길동8983,010-6477-4283,C리서치,3,2,1,4,1,2,True
테스트조사,홍길동9255,010-3492-2635,B리서치,3,5,4,1,1,2,True
테스트조사,홍길동9478,010-1734-5101,B리서치,3,5,4,4,2,2,True
테스트조사,홍길동9498,010-6163-2906,B리서치,5,4,4,3,1,2,True
테스트조사,홍길동9520,010-5147-8931,B리서치,2,2,3,3,3,2,True
테스트조사,홍길동9602,010-1546-4176,B리서치,4,5,2,5,2,2,True
테스트조사,홍길동9643,010-1688-6962,B리서치,2,1,2,4,2,2,True
테스트조사,홍길동9783,010-2305-3171,C리서치,2,3,1,4,2,2,True
테스트조사,홍길동9914,010-8896-6294,A리서치,2,4,1,3,2,2,True
테스트조사,홍길동9921,010-7054-4534,A리서치,5,1,1,5,1,2,True
테스트조사,홍길동10198,010-6701-2671,C리서치,3,4,2,3,3,2,True
테스트조사,홍길동10311,010-5646-2098,C리서치,2,3,5,5,3,2,True
테스트조사,홍길동10427,010-3384-6673,A리서치,5,2,3,4,3,2,True
테스트조사,홍길동10474,010-2029-7556,C리서치,1,4,3,5,3,2,True
테스트조사,홍길동10478,010-4614-7921,C리서치,5,1,4,2,3,2,True
테스트조사,홍길동10485,010-9990-1280,C리서치,4,1,5,4,3,2,True
테스트조사,홍길동10751,010-6862-9174,C리서치,2,2,2,5,3,2,True
테스트조사,홍길동10791,010-1217-1693,C리서치,5,5,2,1,1,2,True
테스트조사,홍길동10802,010-4329-6000,C리서치,3,3,4,2,5,2,True
테스트조사,홍길동11000,010-6653-2862,A리서치,2,5,5,2,5,2,True
테스트조사,홍길동11001,010-4839-8635,C리서치,5,2,2,5,2,2,True
테스트조사,홍길동11213,010-7486-6245,B리서치,5,5,1,4,3,2,True
테스트조사,홍길동11295,010-2234-1772,B리서치,3,2,1,3,4,2,True
테스트조사,홍길동11312,010-6111-1277,A리서치,1,4,2,5,5,2,True
테스트조사,홍길동11338,010-5378-1387,B리서치,5,5,5,4,5,2,True
테스트조사,홍길동11572,010-8289-1140,A리서치,5,5,4,4,2,2,True
테스트조사,홍길동11594,010-3389-3735,B리서치,4,5,5,3,2,2,True
테스트조사,홍길동11638,010-4417-8425,A리서치,1,3,1,3,3,2,True
테스트조사,홍길동11792,010-5722-7506,A리서치,1,1,3,4,2,2,True
테스트조사,홍길동11797,010-3586-3108,C리서치,4,1,5,1,3,2,True
테스트조사,홍길동11991,010-6077-2693,A리서치,2,5,4,2,5,2,True
테스트조사,홍길동12034,010-7721-3356,C리서치,2,3,4,2,1,2,True
테스트조사,홍길동12123,010-5242-7665,C리서치,5,4,5,1,3,2,True
테스트조사,홍길동12138,010-2077-6520,C리서치,1,5,1,4,5,2,True
테스트조사,홍길동12165,010-1377-7019,C리서치,3,5,5,5,3,2,True
테스트조사,홍길동12324,010-9219-7853,B리서치,5,1,2,2,4,2,True
테스트조사,홍길동12366,010-4303-1201,B리서치,4,3,1,2,1,2,True
테스트조사,홍길동12460,010-9967-5393,A리서치,2,4,4,1,3,2,True
테스트조사,홍길동12862,010-3347-4852,C리서치,5,2,4,2,5,2,True
테스트조사,홍길동12864,010-4378-2622,B리서치,1,4,4,4,2,2,True
테스트조사,홍길동12885,010-2208-9825,C리서치,4,5,1,2,4,2,True
테스트조사,홍길동12894,010-1941-1402,C리서치,1,1,1,3,1,2,True
테스트조사,홍길동12928,010-9650-5036,A리서치,2,4,3,4,5,2,True
테스트조사,홍길동13074,010-7273-9565,C리서치,3,2,4,2,3,2,True
테스트조사,홍길동13119,010-3807-6879,A리서치,1,1,1,1,3,2,True
테스트조사,홍길동13278,010-6389-9297,C리서치,5,1,5,2,2,2,True
테스트조사,홍길동13287,010-1845-5325,A리서치,5,1,2,5,4,2,True
테스트조사,홍길동13406,010-6115-6917,C리서치,4,2,5,1,4,2,True
테스트조사,홍길동13450,010-9716-7092,A리서치,2,2,2,3,5,2,True
테스트조사,홍길동13460,010-8089-8140,B리서치,3,4,5,3,5,2,True
테스트조사,홍길동13645,010-8456-5451,B리서치,4,5,2,2,4,2,True
